Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA,ADBE,AMD,AMZN,APD,AZO,BAX,BBY,BDX,BRK-A,BSX,CNI,COP,COST,DLTR,ECL,FDX,JWN,KSS,LMT,LOW,M,MDT,MS,NSC,NVDA,ORLY,ROST,T,TJX,TXN,UNP,UPS,WFC,K
2000-01-18,30.7167121733,34.2531573237,3.2782565246,45.0,15.0504419926,23.0478601541,44.5553573604,19.625473697,34.034248,,25.8246050142,71.1455511686,60.5,81.2742223363,33.47603536,28.3119403116,26.3245572807,25.5446327156,34.443820466,37.7261368382,6.328125,19.1737847227,35.1438543211,20.0061656992,21.4043062538,6.4119055865,22.2599586783,,46.4519233991,22.237821736300003,16.0,19.5,3.20625,28.5037,29.625,17.093292,24.25,26.768293,52000.0,11.625,4.5,16.937721,51.25,11.875,19.21875,44.1875,11.25,38.34375,20.0,13.3125,23.96875,44.375,66.875,20.375,0.954427,7.0625,1.601563,31.061178,2.382813,55.1875,11.09375,68.6875,19.4375,27.625
2000-01-19,31.248000925,33.643107688,3.3608910455000003,47.625,14.8605785874,22.6943099535,44.6747020676,19.7009562881,34.280876,,26.071424248000003,71.7023994052,61.875,83.9072964941,32.820285402,28.4111607793,27.4850624115,26.0863020358,34.7794543612,35.0073423093,6.601563,19.436439308,34.7891088284,20.0428182165,20.7016310206,6.466243769400001,21.835598615,,45.3891124611,22.9524731015,15.78125,19.59375,3.340625,28.561518,30.125,17.059343,25.222221,27.682926,52800.0,11.34375,4.28125,16.794786,51.875,11.611111,18.96875,44.25,11.625,38.6875,20.6875,13.21875,23.90625,44.9375,67.84375,20.0625,0.945313,6.65625,1.53125,30.63633,2.304688,54.75,10.90625,68.25,18.375,26.8125
2000-01-20,30.0842255642,34.2079684618,3.5797779060000003,46.5,14.2035909314,22.580760984,44.7144836367,19.8911724178,33.171062,,25.5016070046,70.4740577068,60.8125,83.5562199397,31.3546842456,28.5072806073,27.4591086226,26.197098033200003,35.4799077078,34.680170885900004,6.445313,19.116000714,33.9450056679,19.9328606646,20.2309068353,6.629258318200001,21.9037993395,,44.9073048358,22.9524731015,15.953125,19.5,3.2375,27.636448,29.0625,16.567083,24.388889,27.134146,53000.0,10.5625,4.260417,16.318338,50.0,10.944444,18.90625,42.5,11.34375,38.28125,20.5625,12.6875,23.132813,44.0,67.40625,19.75,0.942708,6.65625,1.628906,30.966766,2.3125,56.4375,10.5,68.875,18.1875,25.8125
2000-01-21,30.024139336300003,34.2757517546,3.5107055393,45.6875,14.2789335525,22.8543107742,45.8681491398,20.1931027824,32.307877,,25.900783790100004,70.2690482301,60.0,85.3116027116,32.1120754472,27.8685488469,27.0438480008,25.2737980555,35.2366947402,33.9440351831,6.335938,18.4173395172,30.9604980647,19.2425715886,20.6811647517,6.3445262396,22.7563083952,,44.241276648,22.762406249,15.71875,18.9375,3.103125,26.769196,28.25,16.499186,24.020832,28.109756,52900.0,10.34375,4.166667,16.270695,48.5,10.652778,18.53125,41.75,11.15625,38.15625,21.0,11.84375,21.9375,43.5625,66.25,19.6875,0.932292,6.78125,1.679688,32.477341,2.15625,55.398438,10.9375,67.25,18.3125,25.0
2000-01-24,29.3315664993,34.3435350475,3.3511136785000004,44.3125,13.6550966497,22.9188272341,43.4016918573,19.5892420532,32.862782,,25.6722474625,67.0380988775,58.0,85.3116027116,32.397326679,25.9492529261,27.066094105500003,24.3135660787,34.1714219423,33.1261066245,6.210938,18.0601292813,28.9406797879,19.6274230203,20.4662689279,5.9978486325,22.7828308992,,42.0731423343,22.0477548838,15.140625,17.25,3.50625,27.925531,27.75,16.108772,22.944445,27.195122,52900.0,10.5625,3.989583,15.913358,47.0,10.125,18.1875,41.0,10.9375,36.71875,19.5625,11.6875,20.625,43.0625,64.0,18.9375,0.890625,6.75,1.570313,31.722054,2.078125,55.4375,10.609375,66.0,17.9375,24.125
2000-01-25,28.898313172,35.7895786284,3.5403530392,45.6875,13.1487942358,22.8543107742,44.5951389295,19.8911724178,36.993752,,25.6143515929,68.7847796189,56.125,83.6404783128,33.312097870500004,26.4329527058,27.6667389336,24.5043814074,34.4778702814,33.636494045,6.109375,18.3227838665,29.3928779096,19.1692665539,19.4020229437,5.9978486325,22.1652354499,,43.3130884287,21.6220051343,15.75,20.0,3.4625,28.734968,27.875,15.752309,23.777779,26.524389,52800.0,10.40625,4.0625,16.103937,49.6875,10.375,17.8125,40.25,10.96875,35.90625,19.25,11.5,21.53125,44.5625,64.71875,18.8125,0.882813,6.875,1.570313,30.211479,2.125,56.9375,10.234375,65.875,18.8125,23.9375
2000-01-26,30.4573926636,36.1059006618,3.4753808587,46.1875,13.5435895705,22.6452774439,42.645842045,19.0397287897,36.130562,,25.443711135,72.3683452714,57.375,81.9763754451,31.6399354774,25.8903407734,29.083074269,22.0053161345,35.4166723362,32.5110243484,6.1875,18.3227838665,30.3274206944,19.7801418425,19.4429554815,5.9837207049000005,21.8810657646,,43.8870063353,22.237821736300003,15.296875,18.5,3.240625,29.139685,27.625,15.752309,23.027779,26.158537,53000.0,10.59375,4.0625,15.698957,50.4375,10.333333,18.09375,42.375,11.4375,36.65625,20.0625,11.65625,22.5,46.125,66.4375,17.75,0.846354,6.3125,1.648438,30.211479,2.171875,56.25,10.453125,65.125,19.0,24.8125
2000-01-27,30.4384180653,36.8063280213,3.4693882789,45.0625,13.4290687864,21.757530955,42.4071526305,17.9648566919,36.623814,,24.6819233764,72.9833737015,58.25,79.6943778417,32.1743716932,24.9601488893,29.9173031969,23.1625187732,36.0587545706,32.3081780658,5.90625,18.1231663817,31.382549645,18.6683488173,18.825556368900003,5.889172266599999,22.0705122215,,41.896007178000005,22.1465896471,15.671875,18.46875,3.346875,28.561518,27.0,17.127241,22.722221,27.195122,52650.0,10.5625,4.0625,15.43691,48.9375,9.888889,18.03125,40.75,11.25,35.5,19.4375,11.453125,21.34375,46.4375,67.5625,17.5,0.802083,6.65625,1.617188,29.456194,2.140625,56.5,10.0625,65.125,19.5,24.5
2000-01-28,29.173444847,35.7669841975,3.2050839719,44.625,13.1096160729,21.3059157353,41.3330502656,17.191914958599998,36.253876,,24.0359273572,71.343297888,55.625,78.3322008107,30.8202480298,26.2004047348,28.4342295473,22.620849453,37.1532129246,32.1445923541,5.859375,18.4856297094,30.23698107,18.3262586558,17.8227091914,5.7185503722,21.835598615,,39.0618446765,21.903304076,14.390625,17.625,3.084375,27.57863,26.1875,17.025394,22.222221,25.853659,52300.0,10.4375,4.072917,15.198686,46.0,9.916667,17.25,38.6875,10.90625,34.40625,18.875,11.140625,20.8125,44.8125,63.3125,17.25,0.778646,6.5,1.609375,29.645016,2.039063,53.5625,10.15625,64.9375,19.375,23.9375
2000-01-31,29.6098606073,37.2356222094,3.2722639449,44.5,12.7901633594,21.5820461839,43.5608181336,17.3428801408,35.822281,,25.2547877709,75.1400733963,56.625,78.8166864558,32.4399504263,26.6841045145,29.9173031969,23.008635443600003,38.2476712786,32.0202672132,5.6875,19.0109388799,30.4781534016,18.4423249606,18.0580712841,5.7598473912,23.4686270729,,38.7925992389,21.2418714294,13.765625,18.0,3.228125,27.40518,26.25,17.34791,21.222221,25.54878,51200.0,10.375,4.145833,15.579845,48.9375,9.791667,17.59375,39.5625,11.0,35.0625,18.5,11.15625,20.8125,45.75,66.25,17.0,0.772135,6.5625,1.59375,32.382931,2.039063,53.875,10.0625,60.0,20.0,24.25
